Benchmark,timings,results,settings
:ref:`FFT <fft>`,calculation,gflops_avg,FFT Size
,,gflops_min,Batch Size
,,t_avg,
,,t_min,
:ref:`GEMM <gemm>`,execution,gflops,Matrix Size
,,t_mean,Replicate Inputs
,,t_min,
:ref:`LINPACK <hpl>`,gefa,gflops,Matrix Size
,gesl,gflops_lu,Block Size
,,gflops_sl,Emulate
,,t_mean,Data Type
,,t_min,FPGA Torus
,,tlu_mean,
,,tlu_min,
,,tsl_mean,
,,tsl_min,
:ref:`PTRANS <ptrans>`,calculation,avg_calc_flops,Matrix Size
,transfer,avg_calc_t,Block Size
,,avg_mem_bandwidth,Dist. Buffers
,,avg_t,Data Handler
,,avg_transfer_bandwidth,
,,avg_transfer_t,
,,max_calc_flops,
,,max_mem_bandwidth,
,,max_transfer_bandwidth,
,,min_calc_t,
,,min_t,
,,min_transfer_t,
:ref:`RandomAccess <randomaccess>`,execution,guops,Array Size
,,t_mean,#RNGs
,,t_min,
:ref:`STREAM <stream>`,Add,Add_avg_t,Data Type
,,Add_best_rate,Array Size
,,Add_max_t,Kernel Type
,,Add_min_t,
,,Copy_avg_t,
,,Copy_best_rate,
,,Copy_max_t,
,,Copy_min_t,
,PCI_read,PCI_read_avg_t,
,,PCI_read_best_rate,
,,PCI_read_max_t,
,,PCI_read_min_t,
,PCI_write,PCI_write_avg_t,
,,PCI_write_best_rate,
,,PCI_write_max_t,
,,PCI_write_min_t,
,Scale,Scale_avg_t,
,,Scale_best_rate,
,,Scale_max_t,
,,Scale_min_t,
,Triad,Triad_avg_t,
,,Triad_best_rate,
,,Triad_max_t,
,,Triad_min_t,
:ref:`b_eff <beff>`,**special syntax - see below**,b_eff,Loop Length
,,,Message Sizes
